date,start_time,duration,location,witnesses,colors,remarks,year,quarter,duration_seconds,country
18-04-1972,21:30,5–7 min,2860 Søborg,3,"rød, sort",se beretning,2024,1,420,Danmark
18-02-2023,20:30,15 min,4800 Nykøbing Falster,5,"grøn, hvid, rød",se beretning,2024,1,900,Danmark
04-06-2023,19:45,3 sek,"Koh Samui,",2,ukendt,se beretning,2024,1,3,Thailand
06-01-2024,18:30,>5 sek,4550 Asnæs,1,grå,se beretning,2024,1,5,Danmark
07-01-2024,20:38,2 sek,6710 Esbjerg V,1,sort,se beretning,2024,1,2,Danmark
18-01-2024,21:00,10 sek,8450 Hammel,1,ukendt,se beretning,2024,1,10,Danmark
29-01-2024,18:52,1 min,4760 Vordingborg,3,hvid,Starlinkse beretning,2024,1,60,Danmark
30-01-2024,18:54,10–15 sek,4700 Næstved,2,hvid,Starlinkse beretning,2024,1,15,Danmark
15-02-2024,01:22,2–3 min,4060 Kirke Såby,1,ukendt,se beretning,2024,1,180,Danmark
17-02-2024,07:46,5 min,9900 Frederikshavn,1,ukendt,se beretning,2024,1,300,Danmark
17-02-2024,16:00,ca. 50 sek,5700 Svendborg,1,"gul, hvid",se beretning,2024,1,50,Danmark
23-02-2024,22:01,10–15 sek,2800 Kgs. Lyngby,1,gul,se beretning,2024,1,15,Danmark
18-09-2023,21:15,3 sek,9220 Aalborg,1,ukendt,Ildkugle over Nordsøen,2024,2,3,Danmark
18-03-2024,01:45,ca. 30 min,8800 Viborg,1,"grøn, hvid, rød",,2024,2,1800,Danmark
06-04-2024,01:30,1 sek.,4700 Næstved,1,gul,,2024,2,1,Danmark
11-04-2024,22:30,7–8 sek,2730 Herlev,1,"gul, hvid",Evt. fugle oplyst af bylys,2024,2,8,Danmark
02-05-2024,03:15,4 min,4673 Rødvig,1,ukendt,Evt. nødraket,2024,2,240,Danmark
02-05-2024,22:00,ca. 3 min,4340 Tølløse,15,hvid,Raketbrændstof efter Falcon 9 opsendelse,2024,2,180,Danmark
12-05-2024,01:15,10 sek,6870 Ølgod,2,"hvid, rød",Satellit,2024,2,10,Danmark
14-05-2024,13:30,ca. 15 sek,4295 Stenlille,1,sølv,,2024,2,15,Danmark
27-05-2024,18:15,ca. 30 min,"4450 Brokøb,  Jyderup",1,hvid,,2024,2,1800,Danmark
29-05-2024,01:35,5 min,8305 Nordby,1,hvid,Raketbrændstof efter Falcon 9 opsendelse,2024,2,300,Danmark
29-05-2024,01:36,ca. 1 min,7490 Aulum,2,hvid,Raketbrændstof efter Falcon 9 opsendelse,2024,2,60,Danmark
29-05-2024,01:36,7–8 min,4400 Kalundborg,1,hvid,Raketbrændstof efter Falcon 9 opsendelse,2024,2,480,Danmark
29-05-2024,01:45,ca. 30 sek,4200 Slagelse,1,ukendt,Raketbrændstof efter Falcon 9 opsendelse,2024,2,30,Danmark
30-05-2024,14:03,,2630 Tåstrup,1,ukendt,,2024,2,0,Danmark
27-06-2024,20:20,15 min,8420 Kalø Vig,2,"sort, sølv",,2024,2,900,Danmark
27-06-2024,22:13,"1–1,5 min",2750 Ballerup,1,"gul, hvid",,2024,2,300,Danmark
30-06-2024,19:20,10 min,7960 Karby,2,sølv,,2024,2,600,Danmark
21-10-2021,20:45,15–20 sek,"24955 Harrislee,",1,sort,,2024,3,20,Tyskland
11-01-2024,10:00,1–2 min,9870 Sindal,1,hvid,,2024,3,120,Danmark
18-05-2024,23:29,ca. 2 min,5620 Glamsbjerg,1,ukendt,Fotosag.,2024,3,120,Danmark
29-06-2024,22:30,4–5 min,2650 Hvidovre,1,hvid,,2024,3,300,Danmark
07-07-2024,04:00,3 sek,7100 Vejle,1,"grå, hvid",,2024,3,3,Danmark
07-07-2024,15:20,1 min,6760 Ribe,1,hvid,,2024,3,60,Danmark
09-07-2024,00:00,,"Brösarp,",1,sort,,2024,3,0,Sverige
09-07-2024,20:23,1 min,2990 Nivå,1,grå,,2024,3,60,Danmark
09-07-2024,23:10,5 min,3760 Gudhjem,10,hvid,Raketbrændstof efter Ariane 6 opsendelse,2024,3,300,Danmark
12-07-2024,21:20,ca. 10 min,3000 Helsingør,1,hvid,,2024,3,600,Danmark
20-07-2024,22:05,12 min,"9690 Svinkløv,  Fjerritslev",5,hvid,Fotosag. Fly/kondens-stribe,2024,3,720,Danmark
21-07-2024,01:01,15 sek,2300 København S,2,hvid,Ildkugle (meteor),2024,3,15,Danmark
25-07-2024,23:30,1–2 min,2800 Lyngby,1,grøn,Drone,2024,3,120,Danmark
28-07-2024,01:30,2 sek,8660 Skanderborg,1,hvid,Ildkugle,2024,3,2,Danmark
02-08-2024,23:15,5–7 min,"3080 Rute 235,  Tikøb",1,rød,Fotosag,2024,3,420,Danmark
05-08-2024,22:31,ca. 2 min,4440 Mørkøv,2,"grøn, gul",Fotosag. Fly,2024,3,120,Danmark
06-08-2024,00:00,4 sek,2400 København NV,1,ukendt,Fotosag. Lens flare.,2024,3,4,Danmark
10-08-2024,03:00,3 min,9240 Nibe,1,hvid,Starlink satellitter,2024,3,180,Danmark
10-08-2024,23:45,5–7 sek,3630 Jægerspris,1,hvid,,2024,3,7,Danmark
12-08-2024,23:30,ca. 15 sek,5700 Svendborg,2,hvid,Satellit/rakettrin,2024,3,15,Danmark
13-08-2024,21:00,10 sek,7741 Frøstrup,1,"hvid, sort",,2024,3,10,Danmark
16-08-2024,23:45,8 min,8830 Tjele,1,"gul, hvid",Raketbrændstof (Falcon 9 opsendelse),2024,3,480,Danmark
16-08-2024,23:45,ca. 15 min.,2770 Kastrup,1,ukendt,Fotosag. Raketbrændstof (Falcon 9 opsendelse),2024,3,900,Danmark
16-08-2024,23:48,3–5 min,4300 Holbæk,2,hvid,Fotosag. Raketbrændstof (Falcon 9 opsendelse),2024,3,300,Danmark
16-08-2024,23:49,1–2 min,3660 Stenløse,2,hvid,Fotosag. Raketbrændstof (Falcon 9 opsendelse),2024,3,120,Danmark
16-08-2024,23:50,1–2 min,2635 Ishøj,2,gul,Raketbrændstof (Falcon 9 opsendelse),2024,3,120,Danmark
16-08-2024,23:58,5 min,2500 Valby,2,hvid,Raketbrændstof (Falcon 9 opsendelse),2024,3,300,Danmark
17-08-2024,03:40,10 min,2000 Frederiksberg,1,hvid,Fotosag. Projektørlys,2024,3,600,Danmark
19-08-2024,11:30,1–2 sek,4493 Eskebjerg,1,hvid,,2024,3,2,Danmark
24-08-2024,00:00,2 min,3230 Græsted,1,gul,Fotosag. Månen,2024,3,120,Danmark
24-08-2024,22:45,30 sek,2765 Smørum,1,ukendt,Varmluftballon,2024,3,30,Danmark
27-08-2024,11:13,,3000 Helsingør,2,"grå, hvid",Fotosag. Kondensstribe,2024,3,0,Danmark
31-08-2024,14:05,,9830 Tårs,1,sort,Fotosag. Fugl,2024,3,0,Danmark
03-09-2024,22:00,Mere end 1 time,3500 Værløse,1,hvid,Fotosag. Foto mangler,2024,3,3600,Danmark
04-09-2024,22:50,5 sek,2300 København S,2,sort,Fugle,2024,3,5,Danmark
04-09-2024,00:00,,7500 Holstebro,2,"hvid, rød",,2024,3,0,Danmark
06-09-2024,01:45,ca 30 sek,3220 Tisvildeleje,1,ukendt,Starlink satellitter,2024,3,30,Danmark
11-09-2024,23:30,3–5 sek,8660 Skanderborg,1,ukendt,,2024,3,5,Danmark
13-09-2024,22:50,5 min,7000 Fredericia,3,hvid,Fotosag,2024,3,300,Danmark
16-09-2024,20:45,30–60 sek,5771 Stenstrup,1,hvid,Fotosag. Utilstrækkelig data,2024,3,60,Danmark
19-09-2024,01:13,ca. 2 min,3630 Kulhuse,1,hvid,Fotosag. Flyvende sommer,2024,3,120,Danmark
23-09-2024,03:03,2 min,4970 Rødbyhavn,1,hvid,Fotosag. Flyvende sommer,2024,3,120,Danmark
29-09-2024,13:08,10 sek,9440 Aabybro,1,hvid,,2024,3,10,Danmark
29-09-2024,22:40,10–15 sek,3770 Allinge,2,sort,,2024,3,15,Danmark
15-01-1989,07:30,5 min,2450 København SV,1,ukendt,,2024,4,300,Danmark
08-05-2022,21:00,Under 1 sek,4293 Dianalund,2,hvid,,2024,4,1,Danmark
04-11-2023,21:59,20–30 min,2970 Hørsholm,1,hvid,Fotosag Laserlys,2024,4,1800,Danmark
12-12-2023,19:04,,9490 Pandrup,1,ukendt,FotosagLaserlys,2024,4,0,Danmark
04-01-2024,18:58,,"Maspalomas, Gran Canaria",1,"grå, hvid",Fotosag Kamera-refleks,2024,4,0,Danmark
15-07-2024,17:00,Få min,4700 Næstved,1,"grå, sort",,2024,4,0,Danmark
29-09-2024,21:35,ca. 10 sek,1362 København K,3,ukendt,Fugle oplys af bylys?,2024,4,10,Danmark
02-10-2024,20:30,15 min,7860 Spøttrup,1,hvid,,2024,4,900,Danmark
04-10-2024,20:00,3 sek,2730 Herlev,1,ukendt,,2024,4,3,Danmark
05-10-2024,06:36,ca. 5 min,5260 Odense S,2,ukendt,Fotosag Projektørlys,2024,4,300,Danmark
05-10-2024,06:38,ca. 15 min,"5320 Bullerup,  Agedrup",1,hvid,Fotosag Projektørlys,2024,4,900,Danmark
08-10-2024,23:11,10 min,1051 København K,4,hvid,Fotosag Kranlys,2024,4,600,Danmark
11-10-2024,21:07,6 sek,5953 Tranekær,1,"hvid, rød",Fotosag Ildkugle,2024,4,6,Danmark
15-10-2024,17:23,Nog­le min,3300 Frederiksværk,1,ukendt,Fotosag Kamera-refleks,2024,4,0,Danmark
16-10-2024,18:48,1 min,8320 Mårslet,1,"grå, hvid, sort",Fotosag Kondensstribe,2024,4,60,Danmark
20-10-2024,01:56,2 min,8620 Kjellerup,1,grå,Fotosag Opgivet,2024,4,120,Danmark
20-10-2024,09:35,,4250 Fuglebjerg,2,"grå, hvid",Fotosag Fugl,2024,4,0,Danmark
22-10-2024,22:40,1–2 sek,8464 Galten,1,ukendt,Meteor,2024,4,2,Danmark
23-10-2024,20:25,5 min,8384 Malling,2,ukendt,,2024,4,300,Danmark
24-10-2024,17:00,mere end 3 min,,2,ukendt,Fotosag Projektørlys,2024,4,180,Tyskland
24-10-2024,21:30,fle­re timer,"6000 Eltang,  Kolding",2,ukendt,FotosagOpgivet,2024,4,0,Danmark
25-10-2024,18:00,4–6 sek,8600 Silkeborg,1,ukendt,,2024,4,6,Danmark
03-11-2024,17:05,1 sek,3000 Helsingør,1,grøn,Fotosag Kamera-refleks,2024,4,1,Danmark
09-11-2024,23:00,mere end 1 min,6470 Sydals,2,sølv,,2024,4,60,Danmark
12-11-2024,20:30,2 min,3390 Hundested,1,"gul, rød",,2024,4,120,Danmark
14-11-2024,18:15,2–3 min,6580 Vamdrup,2,hvid,Starlink satellitter,2024,4,180,Danmark
14-11-2024,18:15,ca. 5 min,4736 Karrebæksminde,1,hvid,Starlink satellitter,2024,4,300,Danmark
14-11-2024,18:17,2–3 min,"25373 Gantofta,",1,"gul, hvid",Fotosag Starlink satelitter,2024,4,180,Sverige
14-11-2024,18:18,,5300 Kerteminde,1,ukendt,Fotosag Starlink satellitter,2024,4,0,Danmark
14-11-2024,18:19,2–3 min,"4690 Dalby,  Haslev",1,ukendt,Fotosag Starlink satellitter,2024,4,180,Danmark
14-11-2024,18:20,ca. 4 min,8700 Horsens,2,hvid,Starlink satellitter,2024,4,240,Danmark
14-11-2024,18:25,30 sek,4792 Askeby,4,"blå, hvid",Starlink satellitter,2024,4,30,Danmark
14-11-2024,18:30,5 min,4800 Nykøbing F,1,sort,Starlink satellitter,2024,4,300,Danmark
14-11-2024,18:30,30 sek,6740 Bramming,1,hvid,Starlink satellitter,2024,4,30,Danmark
16-11-2024,23:17,ca. 2 min,4673 Rødvig,1,blå,Fotosag,2024,4,120,Danmark
17-11-2024,20:52,1 min,8870 Langå,1,ukendt,,2024,4,60,Danmark
18-11-2024,18:47,ca. 1 min,8800 Viborg,3,"hvid, sort",Starlink satellitter,2024,4,60,Danmark
18-11-2024,18:47,ca. 1 min,6100 Haderslev,1,hvid,Fotosag. Starlink satellitter,2024,4,60,Danmark
18-11-2024,18:47,5–10 min,6100 Haderslev,1,hvid,Starlink satellitter,2024,4,600,Danmark
18-11-2024,18:50,1–2 min,4840 Nørre Vedby,2,ukendt,Starlink satellitter,2024,4,120,Danmark
18-11-2024,18:50,1 min,5750 Ringe,2,hvid,Starlink satellitter,2024,4,60,Danmark
19-11-2024,19:00,1 min,7100 Vejle,1,hvid,Starlink satellitter,2024,4,60,Danmark
19-11-2024,21:00,2 min,6600 Vejen,1,gul,Varmluftballon,2024,4,120,Danmark
21-11-2024,18:45,ca. 3 min,5560 Aarup,2,ukendt,Starlink,2024,4,180,Danmark
22-11-2024,19:45,15–30 sek,6000 Kolding,1,ukendt,,2024,4,30,Danmark
29-11-2024,16:46,under 10 sek.,1051 København K,1,"blå, grå",Fotosag Kamera-refleks,2024,4,10,Danmark
01-12-2024,01:05,ca. 5 sek,5856 Ryslinge,1,hvid,,2024,4,5,Danmark
11-12-2024,21:00,mere end 3 min,4780 Stege,1,"blå, rød",,2024,4,180,Danmark
11-12-2024,23:55,20 min,3450 Allerød,2,ukendt,Fotosag Sirus,2024,4,1200,Danmark
19-12-2024,17:20,,4050 Skibby,2,hvid,Projektørlys,2024,4,0,Danmark
20-12-2024,17:05,2–3 min,5240 Odense NØ,1,hvid,Satellit,2024,4,180,Danmark
20-12-2024,23:11,5 min,6000 Kolding,1,hvid,Fotosag Fly,2024,4,300,Danmark
26-12-2024,06:40,10 min,8471 Fajstrup,1,hvid,,2024,4,600,Danmark
02-01-2023,21:03,10 sek,5492 Vissenbjerg,1,blå,se beretning,2023,1,10,Danmark
12-01-2023,05:40,15 sek,2750 Ballerup,1,hvid,se beretning,2023,1,15,Danmark
16-01-2023,03:10,25 sek,8000 Aarhus C,1,rød,se beretning,2023,1,25,Danmark
16-01-2023,08:20,10–15 min,8240 Risskov,2,gul,se beretning,2023,1,900,Danmark
18-01-2023,19:00,5 min,9382 Tylstrup,1,"blå, hvid, rød",Flyse beretning,2023,1,300,Danmark
27-01-2023,18:15,30 min,4800 Nykøbing F,2,"grøn, hvid, rød",se beretning,2023,1,1800,Danmark
30-01-2023,22:50,25min,8464 Galten,1,"gul, hvid",Siriusse beretning,2023,1,1500,Danmark
01-02-2023,06:37,?,7500 Holstebro,1,ukendt,se beretning,2023,1,0,Danmark
