date,start_time,duration,location,witnesses,colors,remarks,year,quarter,duration_seconds,country,postnr,latitude,longitude
18-04-1972,21:30,5–7 min,2860 Søborg,3,"rød, sort",se beretning,2024,1,420,Danmark,2860,55.73800813,12.48425242
18-02-2023,20:30,15 min,4800 Nykøbing Falster,5,"grøn, hvid, rød",se beretning,2024,1,900,Danmark,4800,54.7930621,11.90198993
04-06-2023,19:45,3 sek,"Koh Samui,",2,ukendt,se beretning,2024,1,3,Thailand,nan,,
06-01-2024,18:30,>5 sek,4550 Asnæs,1,grå,se beretning,2024,1,5,Danmark,4550,55.81190532,11.49734325
07-01-2024,20:38,2 sek,6710 Esbjerg V,1,sort,se beretning,2024,1,2,Danmark,6710,55.55262453,8.34866677
18-01-2024,21:00,10 sek,8450 Hammel,1,ukendt,se beretning,2024,1,10,Danmark,8450,56.26356721,9.8817943
29-01-2024,18:52,1 min,4760 Vordingborg,3,hvid,Starlinkse beretning,2024,1,60,Danmark,4760,55.02464842,11.8960716
30-01-2024,18:54,10–15 sek,4700 Næstved,2,hvid,Starlinkse beretning,2024,1,15,Danmark,4700,55.19504272,11.77357353
15-02-2024,01:22,2–3 min,4060 Kirke Såby,1,ukendt,se beretning,2024,1,180,Danmark,4060,55.65437818,11.87375746
17-02-2024,07:46,5 min,9900 Frederikshavn,1,ukendt,se beretning,2024,1,300,Danmark,9900,57.52270103,10.72500277
17-02-2024,16:00,ca. 50 sek,5700 Svendborg,1,"gul, hvid",se beretning,2024,1,50,Danmark,5700,55.01443666,10.59802878
23-02-2024,22:01,10–15 sek,2800 Kgs. Lyngby,1,gul,se beretning,2024,1,15,Danmark,2800,55.78572204,12.52083673
18-09-2023,21:15,3 sek,9220 Aalborg,1,ukendt,Ildkugle over Nordsøen,2024,2,3,Danmark,9220,57.05425152,10.00949733
18-03-2024,01:45,ca. 30 min,8800 Viborg,1,"grøn, hvid, rød",,2024,2,1800,Danmark,8800,56.41681148,9.36897659
06-04-2024,01:30,1 sek.,4700 Næstved,1,gul,,2024,2,1,Danmark,4700,55.19504272,11.77357353
11-04-2024,22:30,7–8 sek,2730 Herlev,1,"gul, hvid",Evt. fugle oplyst af bylys,2024,2,8,Danmark,2730,55.74057031,12.42581802
02-05-2024,03:15,4 min,4673 Rødvig,1,ukendt,Evt. nødraket,2024,2,240,Danmark,4673,55.20085779,12.38750748
02-05-2024,22:00,ca. 3 min,4340 Tølløse,15,hvid,Raketbrændstof efter Falcon 9 opsendelse,2024,2,180,Danmark,4340,55.61818163,11.74532267
